name,race,matchup,relative_position,army_x,army_y,total_army_value,died_army_value,gameloop
TIME,Terran,TvZ,0.9550484544259747,131,63,0,0,3360
正义的泉水沟,Zerg,TvZ,0.034718753301704264,138,58,0,0,3360
TIME,Terran,TvZ,0.903513899297931,133,73,0,0,3600
正义的泉水沟,Zerg,TvZ,0.023570467939110107,135,33,75,0,3600
TIME,Terran,TvZ,0.9524375390137481,132,79,0,0,3840
正义的泉水沟,Zerg,TvZ,0.10110738154475085,136,71,250,0,3840
TIME,Terran,TvZ,0.5843451221791105,87,65,0,0,4560
正义的泉水沟,Zerg,TvZ,0.023570467939110107,135,33,225,0,4560
TIME,Terran,TvZ,0.7127010299523254,107,94,400,0,6480
正义的泉水沟,Zerg,TvZ,0.026944221384468392,134,33,200,0,6480
TIME,Terran,TvZ,0.3453496289074919,73,94,700,0,6720
正义的泉水沟,Zerg,TvZ,0.03209551975004954,131,81,300,0,6720
TIME,Terran,TvZ,0.03342567403627106,42,105,1100,150,6960
正义的泉水沟,Zerg,TvZ,0.028580770264009292,134,56,525,125,6960
TIME,Terran,TvZ,0.1433656019943913,54,110,1150,150,7200
正义的泉水沟,Zerg,TvZ,0.030337524986828124,133,56,975,375,7200
TIME,Terran,TvZ,0.31370787936241873,71,115,1000,450,7440
正义的泉水沟,Zerg,TvZ,0.028580770264009292,134,56,750,450,7440
TIME,Terran,TvZ,0.03503523512554407,46,103,900,100,7680
正义的泉水沟,Zerg,TvZ,0.025423728813559365,135,33,350,150,7680
TIME,Terran,TvZ,0.05642706687551602,39,106,100,0,8160
正义的泉水沟,Zerg,TvZ,0.03209551975004954,131,81,0,0,8160
TIME,Terran,TvZ,0.9595559464440845,130,61,500,0,8640
正义的泉水沟,Zerg,TvZ,0.028939985220628572,131,81,300,0,8640
TIME,Terran,TvZ,0.07194044003794264,40,105,900,200,8880
正义的泉水沟,Zerg,TvZ,0.9182093918957244,41,105,250,175,8880
TIME,Terran,TvZ,0.8487169853280376,149,80,850,100,9120
正义的泉水沟,Zerg,TvZ,0.025490503365806272,135,33,375,75,9120
TIME,Terran,TvZ,0.9337957336234555,99,41,800,0,10320
正义的泉水沟,Zerg,TvZ,0.03094735745145727,133,56,0,0,10320
TIME,Terran,TvZ,0.6033660980298854,84,40,800,150,10560
正义的泉水沟,Zerg,TvZ,0.03583059917764059,130,81,600,50,10560
TIME,Terran,TvZ,0.6766156526685128,71,42,650,0,10800
正义的泉水沟,Zerg,TvZ,0.033694661158778505,131,81,125,0,10800
TIME,Terran,TvZ,0.4097217209103322,60,73,550,100,11040
正义的泉水沟,Zerg,TvZ,0.033694661158778505,131,81,575,125,11040
TIME,Terran,TvZ,0.748946526469583,113,96,1000,0,11520
正义的泉水沟,Zerg,TvZ,0.2097727352255202,116,94,750,150,11520
TIME,Terran,TvZ,0.3811580999106903,62,72,550,100,11760
正义的泉水沟,Zerg,TvZ,0.029717986323595347,134,56,800,300,11760
TIME,Terran,TvZ,0.6464939066033797,100,75,1000,0,12480
正义的泉水沟,Zerg,TvZ,0.1613810207081986,134,100,450,0,12480
TIME,Terran,TvZ,0.27216496755354336,68,91,1500,350,12720
正义的泉水沟,Zerg,TvZ,0.31600721005411936,104,72,950,425,12720
TIME,Terran,TvZ,0.6558828514433125,57,55,1600,200,13680
正义的泉水沟,Zerg,TvZ,0.029717986323595347,134,56,1375,475,13680
TIME,Terran,TvZ,0.6797359754899341,74,41,2625,0,14160
