outcome,race,collection_rate
win,Terran,3599
loss,Zerg,3650
win,Terran,4770
loss,Zerg,3773
win,Zerg,4277
loss,Terran,3879
win,Terran,3134
loss,Zerg,3106
win,Zerg,4714
loss,Terran,4988
win,Zerg,4971
loss,Terran,4641
win,Terran,4215
loss,Zerg,4014
win,Zerg,2490
loss,Terran,2518
win,Zerg,4131
loss,Terran,3560
win,Zerg,5761
loss,Terran,4355
win,Zerg,5800
loss,Terran,3834
win,Zerg,4719
loss,Terran,4350
win,Zerg,5464
loss,Terran,3689
win,Zerg,1057
loss,Terran,839
win,Zerg,4400
loss,Terran,4646
win,Zerg,4422
loss,Terran,4014
win,Zerg,4126
loss,Terran,3476
win,Terran,4204
loss,Zerg,4159
win,Zerg,2552
loss,Terran,2490
win,Terran,3862
loss,Zerg,4103
win,Terran,1785
loss,Zerg,883
win,Terran,3986
loss,Zerg,3678
win,Zerg,4047
loss,Terran,3610
win,Zerg,1824
loss,Terran,1544
win,Zerg,4590
loss,Terran,4226
win,Terran,3565
loss,Zerg,4484
win,Zerg,4753
loss,Terran,4350
win,Terran,1091
loss,Zerg,1135
win,Terran,4176
loss,Zerg,4529
win,Zerg,4506
loss,Terran,4450
win,Zerg,3538
loss,Terran,2854
win,Zerg,3963
loss,Terran,3403
win,Zerg,5072
loss,Terran,4260
win,Zerg,3482
loss,Terran,3336
win,Terran,335
loss,Zerg,293
win,Terran,5106
loss,Zerg,5139
win,Zerg,4630
loss,Terran,3498
win,Terran,2507
loss,Zerg,2546
win,Terran,4086
loss,Zerg,4803
win,Terran,3510
loss,Zerg,4467
win,Terran,5122
loss,Zerg,4786
win,Terran,3969
loss,Zerg,4579
win,Zerg,4630
loss,Terran,4842
win,Terran,4338
loss,Zerg,4490
win,Zerg,4736
loss,Terran,4781
win,Terran,4048
loss,Zerg,4019
win,Terran,5005
loss,Zerg,5458
win,Zerg,5878
loss,Terran,4775
win,Terran,1091
loss,Zerg,1107
win,Zerg,4579
loss,Terran,3526
win,Zerg,2966
loss,Terran,3969
win,Zerg,4669
loss,Terran,4260
win,Terran,3941
loss,Zerg,4803
win,Zerg,4596
loss,Terran,4081
win,Zerg,4366
loss,Terran,3728
win,Zerg,4540
loss,Terran,5458
win,Terran,2933
loss,Zerg,3426
win,Zerg,4411
loss,Terran,3728
win,Zerg,5492
loss,Terran,3868
win,Terran,3549
loss,Zerg,3062
win,Zerg,2944
loss,Terran,2866
win,Terran,4120
loss,Zerg,4411
win,Terran,5794
loss,Zerg,5274
win,Zerg,5548
loss,Terran,5033
win,Terran,3896
loss,Zerg,4008
win,Zerg,5576
loss,Terran,5173
win,Zerg,5520
loss,Terran,4602
win,Zerg,4378
loss,Terran,3930
win,Terran,4142
loss,Zerg,5010
win,Terran,2507
loss,Zerg,2546
win,Zerg,4025
loss,Terran,3790
win,Terran,4098
loss,Zerg,3812
win,Terran,3538
loss,Zerg,5038
win,Terran,3258
loss,Zerg,3291
win,Zerg,4546
loss,Terran,3638
win,Terran,1315
loss,Zerg,1186
win,Terran,4002
loss,Zerg,3946
win,Terran,1119
loss,Zerg,1107
win,Zerg,4803
loss,Terran,4579
win,Terran,4058
loss,Zerg,4579
win,Zerg,4232
loss,Terran,3683
win,Zerg,5122
loss,Terran,4439
win,Zerg,2614
loss,Terran,2373
win,Zerg,4859
loss,Terran,4120
win,Zerg,4456
loss,Terran,4344
win,Terran,4036
loss,Zerg,4316
win,Zerg,5755
loss,Terran,5296
win,Terran,4355
loss,Zerg,4417
win,Zerg,3762
loss,Terran,4176
win,Terran,4092
loss,Zerg,4282
win,Terran,4120
loss,Zerg,4036
win,Terran,4551
loss,Zerg,3442
win,Zerg,3386
loss,Terran,3778
win,Zerg,4652
loss,Terran,4142
win,Zerg,3778
loss,Terran,3308
