outcome,seconds
win,540
win,1052
win,755
win,782
loss,758
loss,832
loss,589
win,1164
win,2384
win,702
loss,795
loss,754
loss,1534
loss,727
loss,802
loss,916
win,1327
win,341
win,327
loss,936
win,946
loss,632
win,543
loss,1327
win,477
win,965
loss,555
loss,497
loss,649
loss,870
loss,674
loss,760
loss,1314
win,846
loss,1169
win,600
loss,56
win,791
win,820
win,374
win,1315
win,715
win,358
win,882
win,676
loss,466
loss,687
win,798
win,722
loss,693
loss,467
loss,984
loss,2435
loss,224
loss,1086
loss,1020
loss,905
win,903
win,206
loss,725
win,674
loss,606
loss,656
win,707
win,579
win,827
win,226
win,406
win,369
win,599
win,793
loss,939
win,360
win,341
win,487
win,1426
win,1278
loss,734
loss,814
loss,985
win,1136
win,1230
win,1488
loss,681
win,612
loss,880
loss,901
win,1039
win,421
loss,756
loss,738
win,756
loss,1454
loss,612
win,568
win,1022
loss,673
loss,575
win,1398
win,1139
win,1452
win,619
loss,480
loss,793
loss,1352
loss,617
win,811
win,821
loss,765
loss,871
win,880
win,2511
win,710
loss,697
loss,775
loss,1828
loss,938
win,913
win,748
win,1228
win,462
loss,679
win,669
loss,758
win,843
win,1228
win,977
loss,475
loss,669
loss,714
win,804
win,708
win,51
loss,3550
loss,547
loss,676
loss,580
loss,804
loss,609
loss,727
loss,849
loss,936
win,433
loss,670
loss,401
loss,910
loss,1410
win,474
loss,2112
win,731
loss,1190
loss,103
win,1326
loss,2669
win,1017
win,612
loss,643
loss,492
loss,1099
win,1499
win,1106
loss,942
win,1447
loss,543
loss,155
loss,155
loss,613
win,455
loss,891
win,1103
loss,816
loss,618
win,502
loss,974
loss,1197
loss,651
win,743
loss,1495
win,780
loss,670
win,623
win,340
loss,871
loss,532
win,636
win,711
win,28
win,1754
win,736
win,770
loss,1017
loss,500
loss,772
win,640
loss,1300
win,589
win,916
win,464
win,344
win,175
