outcome,seconds
win,444
win,659
loss,710
win,480
loss,808
loss,1243
win,826
loss,417
loss,855
loss,837
loss,787
loss,1087
loss,840
loss,231
loss,581
loss,580
loss,552
win,703
loss,715
win,717
win,253
win,545
loss,644
loss,366
loss,688
win,631
loss,1108
win,245
win,712
loss,1341
loss,444
loss,626
loss,755
loss,445
win,7
win,1096
loss,617
win,705
win,885
win,818
win,1330
win,1072
loss,742
win,981
loss,1029
win,629
win,2151
loss,1583
win,206
loss,631
loss,506
loss,781
win,882
loss,1026
loss,683
loss,1077
win,503
loss,907
loss,784
win,644
loss,565
win,672
win,797
loss,1025
win,699
loss,989
loss,878
loss,657
win,901
win,705
loss,891
win,528
win,1990
win,1059
loss,958
win,234
win,638
win,184
loss,799
win,535
loss,832
loss,1281
loss,418
loss,595
loss,587
win,1198
loss,1605
win,724
loss,541
win,713
win,658
win,788
loss,837
loss,730
loss,459
win,604
win,351
win,366
win,1008
win,1039
loss,870
win,708
loss,1046
win,770
win,864
win,864
win,833
win,833
win,585
loss,919
loss,950
loss,765
win,904
win,792
loss,724
loss,500
win,917
win,626
loss,221
loss,847
loss,1212
loss,1035
loss,576
loss,575
loss,978
win,571
loss,819
loss,958
loss,1299
loss,1084
loss,1853
win,964
win,789
win,613
loss,600
win,877
loss,931
win,523
win,923
win,816
win,1463
win,894
loss,514
loss,692
loss,706
loss,959
win,1098
win,553
win,542
win,923
win,292
win,874
loss,498
loss,289
loss,1323
loss,964
win,609
win,643
win,629
loss,1000
win,730
loss,745
loss,1396
loss,1752
win,643
win,738
loss,800
loss,967
win,328
loss,969
win,671
win,420
win,525
win,736
win,889
loss,598
loss,1250
win,984
loss,564
loss,585
loss,919
loss,1198
win,744
loss,1430
loss,704
loss,260
